# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-374.98665744	0.00000000
-374.95330103	-0.00000002
-374.91994462	-0.00000002
-374.88658821	-0.00000005
-374.85323180	-0.00000002
-374.81987539	-0.00000018
-374.78651898	0.00000049
-374.75316257	-0.00000053
-374.71980616	0.00000097
-374.68644975	0.00000101
-374.65309334	0.00000258
-374.61973693	0.00000420
-374.58638052	0.00000413
-374.55302411	0.00000780
-374.51966770	0.00000920
-374.48631129	0.00001432
-374.45295488	0.00001931
-374.41959847	0.00002112
-374.38624206	0.00002780
-374.35288566	0.00002498
-374.31952925	0.00003475
-374.28617284	0.00004836
-374.25281643	0.00005630
-374.21946002	0.00006607
-374.18610361	0.00007326
-374.15274720	0.00009641
-374.11939079	0.00010133
-374.08603438	0.00012845
-374.05267797	0.00012884
-374.01932156	0.00015187
-373.98596515	0.00018203
-373.95260874	0.00019027
-373.91925233	0.00019683
-373.88589592	0.00024076
-373.85253951	0.00026448
-373.81918310	0.00028443
-373.78582669	0.00030332
-373.75247028	0.00033871
-373.71911387	0.00038880
-373.68575746	0.00039757
-373.65240106	0.00038658
-373.61904465	0.00043809
-373.58568824	0.00048639
-373.55233183	0.00050102
-373.51897542	0.00049320
-373.48561901	0.00053366
-373.45226260	0.00052835
-373.41890619	0.00058614
-373.38554978	0.00061583
-373.35219337	0.00059567
-373.31883696	0.00061663
-373.28548055	0.00063831
-373.25212414	0.00065900
-373.21876773	0.00064590
-373.18541132	0.00067151
-373.15205491	0.00067590
-373.11869850	0.00066808
-373.08534209	0.00071196
-373.05198568	0.00077513
-373.01862927	0.00070697
-372.98527287	0.00070776
-372.95191646	0.00077483
-372.91856005	0.00082060
-372.88520364	0.00081145
-372.85184723	0.00079954
-372.81849082	0.00085045
-372.78513441	0.00087792
-372.75177800	0.00097983
-372.71842159	0.00099068
-372.68506518	0.00098694
-372.65170877	0.00098707
-372.61835236	0.00100326
-372.58499595	0.00106806
-372.55163954	0.00104205
-372.51828313	0.00110291
-372.48492672	0.00109539
-372.45157031	0.00113164
-372.41821390	0.00108624
-372.38485749	0.00123131
-372.35150108	0.00122842
-372.31814467	0.00124160
-372.28478827	0.00129885
-372.25143186	0.00129213
-372.21807545	0.00122737
-372.18471904	0.00132563
-372.15136263	0.00136849
-372.11800622	0.00145980
-372.08464981	0.00150009
-372.05129340	0.00146316
-372.01793699	0.00149870
-371.98458058	0.00149588
-371.95122417	0.00144495
-371.91786776	0.00142925
-371.88451135	0.00145847
-371.85115494	0.00144745
-371.81779853	0.00136462
-371.78444212	0.00138861
-371.75108571	0.00141111
-371.71772930	0.00136232
-371.68437289	0.00130571
-371.65101648	0.00117748
-371.61766007	0.00119450
-371.58430367	0.00114877
-371.55094726	0.00108421
-371.51759085	0.00099897
-371.48423444	0.00098960
-371.45087803	0.00098587
-371.41752162	0.00089713
-371.38416521	0.00089064
-371.35080880	0.00084970
-371.31745239	0.00087931
-371.28409598	0.00080052
-371.25073957	0.00089030
-371.21738316	0.00084232
-371.18402675	0.00088945
-371.15067034	0.00084793
-371.11731393	0.00094350
-371.08395752	0.00093297
-371.05060111	0.00086073
-371.01724470	0.00090029
-370.98388829	0.00084565
-370.95053188	0.00091996
-370.91717547	0.00088241
