# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-374.98665744	-0.00000000
-374.95330103	0.00000001
-374.91994462	-0.00000006
-374.88658821	0.00000004
-374.85323180	-0.00000011
-374.81987539	0.00000014
-374.78651898	-0.00000017
-374.75316257	-0.00000040
-374.71980616	0.00000047
-374.68644975	0.00000113
-374.65309334	0.00000085
-374.61973693	0.00000466
-374.58638052	0.00000364
-374.55302411	0.00000343
-374.51966770	0.00000725
-374.48631129	0.00001093
-374.45295488	0.00001348
-374.41959847	0.00001742
-374.38624206	0.00002110
-374.35288566	0.00002619
-374.31952925	0.00003322
-374.28617284	0.00003285
-374.25281643	0.00005133
-374.21946002	0.00005530
-374.18610361	0.00006103
-374.15274720	0.00007294
-374.11939079	0.00009731
-374.08603438	0.00010484
-374.05267797	0.00010861
-374.01932156	0.00012644
-373.98596515	0.00013715
-373.95260874	0.00015726
-373.91925233	0.00017845
-373.88589592	0.00020320
-373.85253951	0.00021855
-373.81918310	0.00024195
-373.78582669	0.00023898
-373.75247028	0.00027331
-373.71911387	0.00027719
-373.68575746	0.00029781
-373.65240106	0.00031181
-373.61904465	0.00033741
-373.58568824	0.00033801
-373.55233183	0.00035530
-373.51897542	0.00039264
-373.48561901	0.00041393
-373.45226260	0.00042054
-373.41890619	0.00041835
-373.38554978	0.00044520
-373.35219337	0.00045210
-373.31883696	0.00049068
-373.28548055	0.00052359
-373.25212414	0.00050551
-373.21876773	0.00053234
-373.18541132	0.00054740
-373.15205491	0.00057475
-373.11869850	0.00062335
-373.08534209	0.00061566
-373.05198568	0.00063668
-373.01862927	0.00069184
-372.98527287	0.00070450
-372.95191646	0.00076159
-372.91856005	0.00072749
-372.88520364	0.00082207
-372.85184723	0.00085341
-372.81849082	0.00087450
-372.78513441	0.00083748
-372.75177800	0.00092418
-372.71842159	0.00094453
-372.68506518	0.00097989
-372.65170877	0.00101644
-372.61835236	0.00100908
-372.58499595	0.00099466
-372.55163954	0.00097685
-372.51828313	0.00098906
-372.48492672	0.00103270
-372.45157031	0.00095135
-372.41821390	0.00100055
-372.38485749	0.00100101
-372.35150108	0.00098227
-372.31814467	0.00092080
-372.28478827	0.00091845
-372.25143186	0.00096146
-372.21807545	0.00094820
-372.18471904	0.00087819
-372.15136263	0.00096914
-372.11800622	0.00084431
-372.08464981	0.00094426
-372.05129340	0.00095622
-372.01793699	0.00084174
-371.98458058	0.00083637
-371.95122417	0.00083759
-371.91786776	0.00077253
-371.88451135	0.00076535
-371.85115494	0.00079486
-371.81779853	0.00055258
-371.78444212	0.00066228
-371.75108571	0.00066928
-371.71772930	0.00068270
-371.68437289	0.00067273
-371.65101648	0.00049752
-371.61766007	0.00043363
-371.58430367	0.00054349
-371.55094726	0.00049328
-371.51759085	0.00051458
-371.48423444	0.00047340
-371.45087803	0.00045605
-371.41752162	0.00051877
-371.38416521	0.00045739
-371.35080880	0.00050357
-371.31745239	0.00053509
-371.28409598	0.00052093
-371.25073957	0.00053506
-371.21738316	0.00059138
-371.18402675	0.00060713
-371.15067034	0.00062289
-371.11731393	0.00069197
-371.08395752	0.00068703
-371.05060111	0.00062092
-371.01724470	0.00067281
-370.98388829	0.00069881
-370.95053188	0.00066165
-370.91717547	0.00076939
-370.88381907	0.00070026
-370.85046266	0.00073383
-370.81710625	0.00085706
-370.78374984	0.00087215
-370.75039343	0.00087101
-370.71703702	0.00091161
-370.68368061	0.00103546
-370.65032420	0.00099204
