# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-374.98665744	0.00000000
-374.95330103	0.00000001
-374.91994462	-0.00000002
-374.88658821	0.00000015
-374.85323180	-0.00000001
-374.81987539	0.00000003
-374.78651898	-0.00000005
-374.75316257	-0.00000095
-374.71980616	-0.00000098
-374.68644975	-0.00000021
-374.65309334	-0.00000087
-374.61973693	-0.00000036
-374.58638052	-0.00000176
-374.55302411	0.00000219
-374.51966770	0.00000117
-374.48631129	0.00000255
-374.45295488	0.00000536
-374.41959847	0.00000975
-374.38624206	0.00001032
-374.35288566	0.00002060
-374.31952925	0.00002200
-374.28617284	0.00002961
-374.25281643	0.00003709
-374.21946002	0.00003650
-374.18610361	0.00005645
-374.15274720	0.00006770
-374.11939079	0.00008164
-374.08603438	0.00007982
-374.05267797	0.00010893
-374.01932156	0.00012450
-373.98596515	0.00013182
-373.95260874	0.00016007
-373.91925233	0.00016778
-373.88589592	0.00018675
-373.85253951	0.00021196
-373.81918310	0.00024008
-373.78582669	0.00025101
-373.75247028	0.00028375
-373.71911387	0.00030913
-373.68575746	0.00033756
-373.65240106	0.00036223
-373.61904465	0.00039881
-373.58568824	0.00042754
-373.55233183	0.00043423
-373.51897542	0.00047161
-373.48561901	0.00048971
-373.45226260	0.00050820
-373.41890619	0.00054845
-373.38554978	0.00054767
-373.35219337	0.00057190
-373.31883696	0.00057454
-373.28548055	0.00058317
-373.25212414	0.00062652
-373.21876773	0.00063713
-373.18541132	0.00064826
-373.15205491	0.00064249
-373.11869850	0.00063757
-373.08534209	0.00069197
-373.05198568	0.00068958
-373.01862927	0.00072182
-372.98527287	0.00066695
-372.95191646	0.00072377
-372.91856005	0.00064047
-372.88520364	0.00073840
-372.85184723	0.00075674
-372.81849082	0.00079180
-372.78513441	0.00075563
-372.75177800	0.00080733
-372.71842159	0.00076775
-372.68506518	0.00078415
-372.65170877	0.00081102
-372.61835236	0.00085824
-372.58499595	0.00089324
-372.55163954	0.00092732
-372.51828313	0.00092923
-372.48492672	0.00100439
-372.45157031	0.00105947
-372.41821390	0.00102685
-372.38485749	0.00107245
-372.35150108	0.00112211
-372.31814467	0.00113976
-372.28478827	0.00113663
-372.25143186	0.00111729
-372.21807545	0.00110721
-372.18471904	0.00111514
-372.15136263	0.00119230
-372.11800622	0.00116876
-372.08464981	0.00122440
-372.05129340	0.00127328
-372.01793699	0.00130270
-371.98458058	0.00127670
-371.95122417	0.00133140
-371.91786776	0.00136878
-371.88451135	0.00132149
-371.85115494	0.00140097
-371.81779853	0.00148568
-371.78444212	0.00134851
-371.75108571	0.00136492
-371.71772930	0.00135833
-371.68437289	0.00133849
-371.65101648	0.00135344
-371.61766007	0.00122252
-371.58430367	0.00123017
-371.55094726	0.00120091
-371.51759085	0.00110324
-371.48423444	0.00106622
-371.45087803	0.00096698
-371.41752162	0.00100533
-371.38416521	0.00102117
-371.35080880	0.00093865
-371.31745239	0.00091294
-371.28409598	0.00084522
-371.25073957	0.00077749
-371.21738316	0.00088060
-371.18402675	0.00085043
-371.15067034	0.00082848
-371.11731393	0.00076029
-371.08395752	0.00079772
-371.05060111	0.00083716
-371.01724470	0.00081519
-370.98388829	0.00075478
-370.95053188	0.00078557
-370.91717547	0.00083068
-370.88381907	0.00076139
-370.85046266	0.00085531
-370.81710625	0.00076930
-370.78374984	0.00080299
-370.75039343	0.00079069
-370.71703702	0.00079556
-370.68368061	0.00089191
