# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-374.98665744	0.00000000
-374.95330103	0.00000003
-374.91994462	0.00000002
-374.88658821	0.00000014
-374.85323180	-0.00000003
-374.81987539	-0.00000015
-374.78651898	0.00000015
-374.75316257	-0.00000098
-374.71980616	-0.00000080
-374.68644975	-0.00000294
-374.65309334	-0.00000216
-374.61973693	-0.00000545
-374.58638052	-0.00000850
-374.55302411	-0.00001085
-374.51966770	-0.00001188
-374.48631129	-0.00001707
-374.45295488	-0.00001764
-374.41959847	-0.00002251
-374.38624206	-0.00002899
-374.35288566	-0.00003248
-374.31952925	-0.00003750
-374.28617284	-0.00004583
-374.25281643	-0.00005384
-374.21946002	-0.00006068
-374.18610361	-0.00008465
-374.15274720	-0.00008664
-374.11939079	-0.00011019
-374.08603438	-0.00012923
-374.05267797	-0.00012652
-374.01932156	-0.00014052
-373.98596515	-0.00016500
-373.95260874	-0.00018752
-373.91925233	-0.00020813
-373.88589592	-0.00020611
-373.85253951	-0.00021702
-373.81918310	-0.00022876
-373.78582669	-0.00024601
-373.75247028	-0.00024284
-373.71911387	-0.00024748
-373.68575746	-0.00026365
-373.65240106	-0.00025249
-373.61904465	-0.00027798
-373.58568824	-0.00028885
-373.55233183	-0.00025761
-373.51897542	-0.00028159
-373.48561901	-0.00029754
-373.45226260	-0.00032213
-373.41890619	-0.00032002
-373.38554978	-0.00028423
-373.35219337	-0.00037271
-373.31883696	-0.00036586
-373.28548055	-0.00039939
-373.25212414	-0.00039356
-373.21876773	-0.00039316
-373.18541132	-0.00040808
-373.15205491	-0.00040362
-373.11869850	-0.00041363
-373.08534209	-0.00043254
-373.05198568	-0.00043471
-373.01862927	-0.00043181
-372.98527287	-0.00041564
-372.95191646	-0.00040174
-372.91856005	-0.00043904
-372.88520364	-0.00043774
-372.85184723	-0.00049286
-372.81849082	-0.00050552
-372.78513441	-0.00052595
-372.75177800	-0.00057881
-372.71842159	-0.00063680
-372.68506518	-0.00061678
-372.65170877	-0.00077835
-372.61835236	-0.00077352
-372.58499595	-0.00091657
-372.55163954	-0.00099077
-372.51828313	-0.00103315
-372.48492672	-0.00115737
-372.45157031	-0.00129739
-372.41821390	-0.00137713
-372.38485749	-0.00136134
-372.35150108	-0.00145425
-372.31814467	-0.00148890
-372.28478827	-0.00162325
-372.25143186	-0.00175408
-372.21807545	-0.00169114
-372.18471904	-0.00183158
-372.15136263	-0.00191352
-372.11800622	-0.00202971
-372.08464981	-0.00196970
-372.05129340	-0.00198470
-372.01793699	-0.00208101
-371.98458058	-0.00210346
-371.95122417	-0.00212084
-371.91786776	-0.00226139
-371.88451135	-0.00218680
-371.85115494	-0.00229637
-371.81779853	-0.00226995
-371.78444212	-0.00236468
-371.75108571	-0.00235280
-371.71772930	-0.00239046
-371.68437289	-0.00240920
-371.65101648	-0.00255550
-371.61766007	-0.00256916
-371.58430367	-0.00262586
-371.55094726	-0.00266912
-371.51759085	-0.00267838
-371.48423444	-0.00285505
-371.45087803	-0.00284302
-371.41752162	-0.00304679
-371.38416521	-0.00301198
-371.35080880	-0.00312096
-371.31745239	-0.00325323
-371.28409598	-0.00341673
-371.25073957	-0.00376186
-371.21738316	-0.00400863
-371.18402675	-0.00451144
-371.15067034	-0.00508412
-371.11731393	-0.00592418
-371.08395752	-0.00686932
-371.05060111	-0.00815112
-371.01724470	-0.00950205
-370.98388829	-0.01098653
-370.95053188	-0.01249087
-370.91717547	-0.01415209
-370.88381907	-0.01546875
-370.85046266	-0.01660812
-370.81710625	-0.01716715
-370.78374984	-0.01722034
-370.75039343	-0.01661272
-370.71703702	-0.01557450
-370.68368061	-0.01382555
-370.65032420	-0.01193777
-370.61696779	-0.00998302
-370.58361138	-0.00806010
-370.55025497	-0.00627752
-370.51689856	-0.00485155
-370.48354215	-0.00376661
-370.45018574	-0.00290240
-370.41682933	-0.00220759
-370.38347292	-0.00171415
-370.35011651	-0.00136188
-370.31676010	-0.00121621
-370.28340369	-0.00118283
-370.25004728	-0.00127886
-370.21669087	-0.00147247
-370.18333447	-0.00178570
-370.14997806	-0.00203860
-370.11662165	-0.00230440
-370.08326524	-0.00250560
-370.04990883	-0.00269544
-370.01655242	-0.00306750
-369.98319601	-0.00335211
-369.94983960	-0.00364926
-369.91648319	-0.00396337
-369.88312678	-0.00428350
-369.84977037	-0.00456881
-369.81641396	-0.00469320
-369.78305755	-0.00499413
-369.74970114	-0.00530067
-369.71634473	-0.00554643
-369.68298832	-0.00582940
-369.64963191	-0.00614256
-369.61627550	-0.00636426
-369.58291909	-0.00650338
-369.54956268	-0.00685958
-369.51620627	-0.00711620
-369.48284987	-0.00732069
-369.44949346	-0.00758365
-369.41613705	-0.00777847
-369.38278064	-0.00786157
-369.34942423	-0.00801074
-369.31606782	-0.00819797
-369.28271141	-0.00823644
-369.24935500	-0.00838245
-369.21599859	-0.00855710
-369.18264218	-0.00885414
-369.14928577	-0.00910668
-369.11592936	-0.00935373
-369.08257295	-0.00974358
-369.04921654	-0.01008793
-369.01586013	-0.01060130
-368.98250372	-0.01109860
-368.94914731	-0.01149674
-368.91579090	-0.01200269
-368.88243449	-0.01234986
-368.84907808	-0.01266842
-368.81572168	-0.01292111
-368.78236527	-0.01293919
-368.74900886	-0.01305682
-368.71565245	-0.01290679
-368.68229604	-0.01280857
-368.64893963	-0.01264393
-368.61558322	-0.01232984
-368.58222681	-0.01208073
-368.54887040	-0.01173717
-368.51551399	-0.01133097
-368.48215758	-0.01095871
-368.44880117	-0.01039766
-368.41544476	-0.01013545
-368.38208835	-0.00974236
-368.34873194	-0.00949140
-368.31537553	-0.00946045
-368.28201912	-0.00964630
-368.24866271	-0.00988134
-368.21530630	-0.01018383
-368.18194989	-0.01077820
-368.14859348	-0.01134612
-368.11523708	-0.01194252
-368.08188067	-0.01250262
-368.04852426	-0.01310119
-368.01516785	-0.01369260
-367.98181144	-0.01437877
-367.94845503	-0.01479654
-367.91509862	-0.01539628
-367.88174221	-0.01585800
-367.84838580	-0.01612692
-367.81502939	-0.01653470
-367.78167298	-0.01679302
-367.74831657	-0.01701194
-367.71496016	-0.01733938
-367.68160375	-0.01759805
-367.64824734	-0.01783086
-367.61489093	-0.01798959
-367.58153452	-0.01829057
-367.54817811	-0.01845265
-367.51482170	-0.01865836
-367.48146529	-0.01889422
-367.44810888	-0.01911857
-367.41475248	-0.01935376
-367.38139607	-0.01961940
