Time_abs/ps, Signal/nA, Ref.signal/nA
  2400.000,    -0.038745,    -0.007406
  2400.050,    -0.032082,    -0.082914
  2400.100,    -0.028855,    -0.102812
  2400.150,    -0.031402,    -0.004502
  2400.200,    -0.029376,    -0.055381
  2400.250,    -0.019090,    -0.001275
  2400.300,    -0.032393,    -0.100302
  2400.350,    -0.024150,    -0.101376
  2400.400,    -0.031400,    -0.155609
  2400.450,    -0.038497,    -0.076462
  2400.500,    -0.027509,     0.027849
  2400.550,    -0.028590,    -0.003081
  2400.600,    -0.020051,     0.068940
  2400.650,     0.003903,     0.057761
  2400.700,     0.020511,     0.089632
  2400.750,     0.018533,     0.077325
  2400.800,     0.049816,     0.009400
  2400.850,     0.073805,     0.130803
  2400.900,     0.096664,     0.052026
  2400.950,     0.118907,     0.177383
  2401.000,     0.130537,     0.191658
  2401.050,     0.156101,     0.234667
  2401.100,     0.183108,     0.257196
  2401.150,     0.198971,     0.302020
  2401.200,     0.219262,     0.298815
  2401.250,     0.246736,     0.312333
  2401.300,     0.261251,     0.376725
  2401.350,     0.287215,     0.411329
  2401.400,     0.308181,     0.486625
  2401.450,     0.335967,     0.482708
  2401.500,     0.348572,     0.461505
  2401.550,     0.376334,     0.368800
  2401.600,     0.391699,     0.454096
  2401.650,     0.409491,     0.496841
  2401.700,     0.431462,     0.423482
  2401.750,     0.467365,     0.673508
  2401.800,     0.466767,     0.505268
  2401.850,     0.504745,     0.367524
  2401.900,     0.526353,     0.585389
  2401.950,     0.549829,     0.573298
  2402.000,     0.589310,     0.596201
  2402.050,     0.606555,     0.613570
  2402.100,     0.643294,     0.571431
  2402.150,     0.653241,     0.623513
  2402.200,     0.662506,     0.591491
  2402.250,     0.651971,     0.765197
  2402.300,     0.648230,     0.635440
  2402.350,     0.611028,     0.635860
  2402.400,     0.574341,     0.671549
  2402.450,     0.516374,     0.652251
  2402.500,     0.470949,     0.518748
  2402.550,     0.383294,     0.529589
  2402.600,     0.306108,     0.447858
  2402.650,     0.205304,     0.397877
  2402.700,     0.116469,     0.315652
  2402.750,     0.023788,     0.158884
  2402.800,    -0.089043,    -0.051767
  2402.850,    -0.258993,    -0.238947
  2402.900,    -0.476414,    -0.241451
  2402.950,    -0.735357,    -0.528068
  2403.000,    -1.046134,    -0.791229
  2403.050,    -1.373703,    -1.028922
  2403.100,    -1.736432,    -1.356686
  2403.150,    -2.049944,    -1.735738
  2403.200,    -2.309082,    -2.041604
  2403.250,    -2.486260,    -2.254299
  2403.300,    -2.566711,    -2.501140
  2403.350,    -2.526639,    -2.518587
  2403.400,    -2.399231,    -2.593404
  2403.450,    -2.225593,    -2.262634
  2403.500,    -2.030121,    -2.208575
  2403.550,    -1.829024,    -2.106885
  2403.600,    -1.651149,    -1.776382
  2403.650,    -1.512519,    -1.648107
  2403.700,    -1.366518,    -1.374054
  2403.750,    -1.248976,    -1.384018
  2403.800,    -1.144821,    -1.197223
  2403.850,    -1.051992,    -1.149242
  2403.900,    -0.966547,    -0.976643
  2403.950,    -0.887136,    -0.881865
  2404.000,    -0.772250,    -0.951111
  2404.050,    -0.687786,    -0.923012
  2404.100,    -0.586231,    -0.646937
  2404.150,    -0.498426,    -0.701197
  2404.200,    -0.422131,    -0.613918
  2404.250,    -0.350859,    -0.401298
  2404.300,    -0.311629,    -0.248717
  2404.350,    -0.259719,    -0.242367
  2404.400,    -0.246391,    -0.059747
  2404.450,    -0.228166,    -0.027351
  2404.500,    -0.235947,    -0.003376
  2404.550,    -0.236877,    -0.030023
  2404.600,    -0.255299,     0.001656
  2404.650,    -0.268479,     0.010330
  2404.700,    -0.284041,    -0.169092
  2404.750,    -0.305051,    -0.141503
  2404.800,    -0.323205,    -0.042560
  2404.850,    -0.324511,    -0.139706
  2404.900,    -0.342293,    -0.027536
  2404.950,    -0.358597,    -0.128527
  2405.000,    -0.376299,    -0.075285
  2405.050,    -0.416678,     0.097184
  2405.100,    -0.423466,    -0.202211
  2405.150,    -0.440484,    -0.340724
  2405.200,    -0.457478,    -0.101468
  2405.250,    -0.482189,    -0.388074
  2405.300,    -0.523106,    -0.392843
  2405.350,    -0.551096,    -0.384231
  2405.400,    -0.584466,    -0.524330
  2405.450,    -0.631042,    -0.486107
  2405.500,    -0.697482,    -0.367459
  2405.550,    -0.771461,    -0.560719
  2405.600,    -0.879955,    -0.735075
  2405.650,    -1.017647,    -0.891183
  2405.700,    -1.222676,    -0.776939
  2405.750,    -1.482939,    -1.213987
  2405.800,    -1.791321,    -1.413391
  2405.850,    -2.138902,    -1.484839
  2405.900,    -2.508681,    -1.920264
  2405.950,    -2.823193,    -2.432845
  2406.000,    -3.019750,    -2.522147
  2406.050,    -3.012930,    -2.851408
  2406.100,    -2.710856,    -2.695685
  2406.150,    -2.052674,    -2.468716
  2406.200,    -1.065745,    -1.840688
  2406.250,     0.232721,    -0.780430
  2406.300,     1.743010,     0.406803
  2406.350,     3.332911,     1.798463
  2406.400,     4.865675,     3.381788
  2406.450,     6.267227,     4.900164
  2406.500,     7.423612,     6.348118
  2406.550,     8.301245,     7.282272
  2406.600,     8.877851,     8.202726
  2406.650,     9.160636,     8.722837
  2406.700,     9.175491,     9.188587
  2406.750,     8.977968,     9.254597
  2406.800,     8.628225,     9.057936
  2406.850,     8.182696,     8.767493
  2406.900,     7.690246,     8.530230
  2406.950,     7.134792,     8.028672
  2407.000,     6.556308,     7.554174
  2407.050,     5.982954,     6.985092
  2407.100,     5.386815,     6.404517
  2407.150,     4.774319,     5.740910
  2407.200,     4.165617,     5.091305
  2407.250,     3.507601,     4.422694
  2407.300,     2.840063,     3.802054
  2407.350,     2.155770,     3.042081
  2407.400,     1.469494,     2.385105
  2407.450,     0.818115,     1.717545
  2407.500,     0.208752,     1.034740
  2407.550,    -0.327395,     0.377716
  2407.600,    -0.827748,    -0.098790
  2407.650,    -1.266920,    -0.693120
  2407.700,    -1.634891,    -1.015758
  2407.750,    -1.961527,    -1.333088
